,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
1005,Willow Grove Union Elementary (San Benito),35-67579-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,,redacted,redacted
1006,Willows Unified (Glenn),11-62661-0000000,6.6,20,33.1,40.4,26.6,18.8,13.9,redacted,redacted,19.8,,redacted,37.2,22.6,30.7
1007,Wilmar Union Elementary (Sonoma),49-71019-0000000,39.6,25.5,19.8,15.1,65.1,redacted,redacted,,,47.4,,redacted,70.9,45.8,81
1008,Wilsona Elementary (Los Angeles),19-65151-0000000,4.7,20.5,26.2,48.6,25.2,redacted,redacted,11.5,redacted,23.9,,23.8,36.8,21.3,29.3
1009,Windsor Unified (Sonoma),49-75358-0000000,15,29.1,25.2,30.7,44.1,30.4,53.9,52.9,redacted,33.1,redacted,46,57.3,38.4,50
1010,Winship-Robbins (Sutter),51-71456-0000000,13.9,33.7,32.7,19.8,47.5,,redacted,,,39.2,,,66.7,38.5,53.2
1011,Winters Joint Unified (Yolo),57-72702-0000000,12.6,24.9,24.9,37.7,37.4,redacted,redacted,redacted,redacted,27.6,redacted,redacted,56.6,33,41.7
1012,Winton (Merced),24-65870-0000000,16.8,29.6,26.1,27.5,46.4,redacted,51.1,25,redacted,45.9,,redacted,54.8,39.7,53.1
1013,Wiseburn Unified (Los Angeles),19-76869-0000000,27.9,40.9,20.9,10.4,68.8,redacted,75,64,90.9,66.5,41.7,81.3,72.8,64,72.9
1014,Woodlake Unified (Tulare),54-76794-0000000,8.4,25.5,25.6,40.5,33.9,redacted,redacted,redacted,,34,,redacted,36.4,28.3,39.5
1015,Woodland Joint Unified (Yolo),57-72710-0000000,12.2,26.4,27.1,34.3,38.6,38.5,52.7,23.4,70.4,32.5,36.4,54.2,53.8,32.3,44.8
1016,Woodside Elementary (San Mateo),41-69088-0000000,54.6,26.5,11.9,7.1,81,,81.8,redacted,,56.7,redacted,75,88.9,78.2,84.2
1017,Woodville Union Elementary (Tulare),54-72298-0000000,3.6,12,29.1,55.3,15.6,,,,,15.9,,,redacted,14.8,16.4
1018,Wright Elementary (Sonoma),49-71035-0000000,16.8,32.5,28.9,21.8,49.3,54.6,67.7,48.2,85.7,43.2,redacted,78.3,57.4,46.8,51.9
1019,Yolo County Office of Education (Yolo),57-10579-0000000,0,3.2,9.7,87.1,3.2,redacted,redacted,redacted,,4.8,redacted,,redacted,3.6,redacted
1020,Yosemite Unified (Madera),20-76414-0000000,16.2,29.1,27.8,26.9,45.3,40.7,15.4,redacted,,27,,57.1,49.1,39.4,50.1
1021,Yreka Union Elementary (Siskiyou),47-70508-0000000,13.9,29.9,25.5,30.7,43.8,32.7,38.5,redacted,,37,,45.2,49.1,40.8,47.1
1022,Yreka Union High (Siskiyou),47-70516-0000000,25.7,42.7,16.9,14.7,68.4,redacted,redacted,redacted,,50,,77.8,73.3,61.8,75
1023,Yuba City Unified (Sutter),51-71464-0000000,14.4,29.2,25.8,30.7,43.6,35.5,54.5,26.4,77.4,34,52.4,48.3,51.7,37.3,50.1
1024,Yuba County Office of Education (Yuba),58-10587-0000000,2.4,22.8,19.7,55.1,25.2,redacted,redacted,redacted,,15.8,redacted,18.8,37.9,20,31.6
1025,Yucaipa-Calimesa Joint Unified (San Bernardino),36-67959-0000000,17.7,32.3,24.5,25.5,50,44.4,70.4,38.3,90.6,40.3,redacted,46.3,57.3,43.4,57.3
